date,time,temperature,humidity,visibility,wind_speed,air_pressure
10/19/2021,20:08:34,27.665,46,13.606165,6.826296799,1020.5
10/20/2021,20:08:34,27.165,45,13.29858626,7.496660261,1021.5
10/21/2021,20:08:34,26.69,44,13.87832558,6.384349212,1020.5
10/22/2021,20:08:34,27.065,45,13.59373757,7.33277668,1019
10/23/2021,20:08:34,27,47,13.59063072,7.223609159,1019.5
10/24/2021,20:08:34,25.09,47,9.999726597,6.169654021,1018
10/20/2021,4:22:03,27.405,46,13.606165,7.146006495,1020.5
10/21/2021,4:22:03,26.92,44,13.85098525,6.712172965,1021
10/22/2021,4:22:03,26.765,46,13.8584417,6.590419858,1020.5
10/23/2021,4:22:03,26.715,48,13.64903961,7.192532737,1019.5
10/24/2021,4:22:03,27,45,13.7938191,6.777097448,1018.5
10/25/2021,4:22:03,24.3,46,9.999726597,5.590716416,1016
10/20/2021,17:58:28,26.45,46,14.0072601,7.4747635,1021
10/21/2021,17:58:28,26.54,45,13.97153126,6.408976157,1021
10/22/2021,17:58:28,27.015,49,13.80935338,6.991778239,1019.5
10/23/2021,17:58:28,27.125,47,13.68445777,6.997577536,1020
10/24/2021,17:58:28,26.515,46,13.69843862,6.936613293,1018
10/25/2021,17:58:28,24.99,47,9.999726597,5.607708383,1016
10/21/2021,8:53:49,26.545,46,13.95133669,6.239181519,1021
10/22/2021,8:53:49,27.035,47,13.94450161,7.176377568,1020
10/23/2021,8:53:49,27.045,46,13.8649661,7.120666862,1020
10/24/2021,8:53:49,26.56,45,13.97525948,7.124070041,1018.5
10/25/2021,8:53:49,27.235,46,13.87832558,6.33384996,1016
10/26/2021,8:53:49,26.61,49,9.999726597,6.660920226,1016
10/21/2021,16:36:39,26.67,47,13.97774497,6.053146352,1020.5
10/22/2021,16:36:39,27.07,46,13.91529716,7.190876229,1020
10/23/2021,16:36:39,27.025,46,13.70372027,7.077035361,1020
10/24/2021,16:36:39,26.425,46,13.74939106,7.008321005,1018
10/25/2021,16:36:39,27.11,48,13.69564245,6.333737675,1016
10/26/2021,16:36:39,26.25,51,9.999726597,6.839752843,1016
2021-10-22,12:25:42,27.29,49,13.793508410880458,7.013443133797291,1020.0
2021-10-23,12:25:42,26.924999999999997,50,13.57416438002068,7.451519071597869,1020.0
2021-10-24,12:25:42,26.35,49,13.80935337628251,6.899478469718178,1018.5
2021-10-25,12:25:42,27.06,55,13.724846894138233,6.31093469023569,1016.0
2021-10-26,12:25:42,27.925,54,13.678244054720432,7.06538271213977,1016.0
2021-10-27,12:25:42,27.7,55,9.999726596675416,7.248051181102362,1015.0
